tas,	Year, Month, Country
19.1627,1917,6,KOR
24.2465,1917,7,KOR
23.1677,1917,8,KOR
18.7859,1917,9,KOR
12.1603,1917,10,KOR
2.63425,1917,11,KOR
-4.8549,1917,12,KOR
-6.7714,1918,1,KOR
-0.8212,1918,2,KOR
3.65054,1918,3,KOR
9.30439,1918,4,KOR
13.2701,1918,5,KOR
19.0179,1918,6,KOR
21.9294,1918,7,KOR
22.829,1918,8,KOR
17.5932,1918,9,KOR
11.5793,1918,10,KOR
4.26959,1918,11,KOR
-1.4646,1918,12,KOR
-4.6169,1919,1,KOR
-1.8455,1919,2,KOR
4.32967,1919,3,KOR
9.63367,1919,4,KOR
14.4209,1919,5,KOR
19.6902,1919,6,KOR
23.4677,1919,7,KOR
23.5735,1919,8,KOR
17.9214,1919,9,KOR
11.763,1919,10,KOR
5.17813,1919,11,KOR
-2.6048,1919,12,KOR
-5.0158,1920,1,KOR
-3.2232,1920,2,KOR
3.86004,1920,3,KOR
9.60313,1920,4,KOR
14.7735,1920,5,KOR
19.9164,1920,6,KOR
24.1004,1920,7,KOR
23.3398,1920,8,KOR
19.5168,1920,9,KOR
13.1815,1920,10,KOR
6.62633,1920,11,KOR
-1.105,1920,12,KOR
-2.5584,1921,1,KOR
-1.5917,1921,2,KOR
2.22751,1921,3,KOR
9.50902,1921,4,KOR
14.2914,1921,5,KOR
18.206,1921,6,KOR
22.528,1921,7,KOR
23.9126,1921,8,KOR
18.1063,1921,9,KOR
11.2602,1921,10,KOR
3.20376,1921,11,KOR
-0.9183,1921,12,KOR
-6.648,1922,1,KOR
0.15721,1922,2,KOR
2.71954,1922,3,KOR
11.1029,1922,4,KOR
14.4055,1922,5,KOR
20.4278,1922,6,KOR
23.3543,1922,7,KOR
24.7758,1922,8,KOR
19.441,1922,9,KOR
12.4388,1922,10,KOR
3.62772,1922,11,KOR
-2.879,1922,12,KOR
-5.6948,1923,1,KOR
-3.4164,1923,2,KOR
4.27506,1923,3,KOR
8.55491,1923,4,KOR
14.8335,1923,5,KOR
18.9802,1923,6,KOR
22.3174,1923,7,KOR
24.9159,1923,8,KOR
18.288,1923,9,KOR
11.5994,1923,10,KOR
4.30099,1923,11,KOR
-1.951,1923,12,KOR
-2.996,1924,1,KOR
-2.2664,1924,2,KOR
0.47847,1924,3,KOR
9.98083,1924,4,KOR
14.1069,1924,5,KOR
19.2268,1924,6,KOR
24.9088,1924,7,KOR
24.4915,1924,8,KOR
18.4072,1924,9,KOR
11.7174,1924,10,KOR
3.07194,1924,11,KOR
-1.8694,1924,12,KOR
-4.0611,1925,1,KOR
-3.2647,1925,2,KOR
1.80991,1925,3,KOR
8.65063,1925,4,KOR
14.5032,1925,5,KOR
19.1805,1925,6,KOR
22.1609,1925,7,KOR
23.6589,1925,8,KOR
18.3039,1925,9,KOR
11.8482,1925,10,KOR
6.41527,1925,11,KOR
-1.6689,1925,12,KOR
-4.2382,1926,1,KOR
-2.7937,1926,2,KOR
2.90835,1926,3,KOR
8.24583,1926,4,KOR
14.5197,1926,5,KOR
18.9804,1926,6,KOR
22.9402,1926,7,KOR
24.3263,1926,8,KOR
18.8338,1926,9,KOR
10.3792,1926,10,KOR
5.62156,1926,11,KOR
-3.5874,1926,12,KOR
-4.1226,1927,1,KOR
-3.206,1927,2,KOR
2.70034,1927,3,KOR
10.0237,1927,4,KOR
12.8975,1927,5,KOR
19.7232,1927,6,KOR
24.6753,1927,7,KOR
23.3191,1927,8,KOR
17.8243,1927,9,KOR
11.7795,1927,10,KOR
6.82839,1927,11,KOR
-1.5062,1927,12,KOR
-4.5573,1928,1,KOR
-2.778,1928,2,KOR
3.28023,1928,3,KOR
10.3452,1928,4,KOR
15.5479,1928,5,KOR
19.567,1928,6,KOR
23.0409,1928,7,KOR
23.4715,1928,8,KOR
18.9443,1928,9,KOR
11.3007,1928,10,KOR
4.38288,1928,11,KOR
-1.9122,1928,12,KOR
-4.8063,1929,1,KOR
-3.4075,1929,2,KOR
3.23582,1929,3,KOR
9.05925,1929,4,KOR
14.6995,1929,5,KOR
20.8934,1929,6,KOR
24.7861,1929,7,KOR
24.6839,1929,8,KOR
17.3286,1929,9,KOR
11.7346,1929,10,KOR
4.23528,1929,11,KOR
0.9559,1929,12,KOR
-4.6801,1930,1,KOR
0.22542,1930,2,KOR
5.35994,1930,3,KOR
10.484,1930,4,KOR
15.0569,1930,5,KOR
19.4018,1930,6,KOR
24.5543,1930,7,KOR
24.2681,1930,8,KOR
17.7198,1930,9,KOR
12.7547,1930,10,KOR
2.98147,1930,11,KOR
-1.14,1930,12,KOR
-3.501,1931,1,KOR
-2.8789,1931,2,KOR
3.9855,1931,3,KOR
7.81422,1931,4,KOR
14.214,1931,5,KOR
19.6143,1931,6,KOR
20.5666,1931,7,KOR
23.6093,1931,8,KOR
18.0186,1931,9,KOR
10.8989,1931,10,KOR
6.86325,1931,11,KOR
-0.7525,1931,12,KOR
-1.0176,1932,1,KOR
-2.0599,1932,2,KOR
2.02399,1932,3,KOR
8.63441,1932,4,KOR
14.9872,1932,5,KOR
19.2909,1932,6,KOR
24.7849,1932,7,KOR
23.4317,1932,8,KOR
17.6593,1932,9,KOR
11.0786,1932,10,KOR
4.96516,1932,11,KOR
0.07147,1932,12,KOR
-6.2806,1933,1,KOR
-3.4877,1933,2,KOR
0.94224,1933,3,KOR
9.39893,1933,4,KOR
15.2379,1933,5,KOR
19.9422,1933,6,KOR
24.5153,1933,7,KOR
23.0878,1933,8,KOR
18.4708,1933,9,KOR
11.9561,1933,10,KOR
5.16108,1933,11,KOR
0.50821,1933,12,KOR
-7.0401,1934,1,KOR
-2.1947,1934,2,KOR
2.10582,1934,3,KOR
8.56546,1934,4,KOR
15.6482,1934,5,KOR
19.8149,1934,6,KOR
22.9786,1934,7,KOR
23.2406,1934,8,KOR
17.8599,1934,9,KOR
10.5068,1934,10,KOR
4.08019,1934,11,KOR
0.70089,1934,12,KOR
-3.0612,1935,1,KOR
-0.4781,1935,2,KOR
4.95965,1935,3,KOR
9.96403,1935,4,KOR
15.0771,1935,5,KOR
19.4257,1935,6,KOR
23.0601,1935,7,KOR
23.9012,1935,8,KOR
18.4014,1935,9,KOR
13.2266,1935,10,KOR
5.78558,1935,11,KOR
-3.2892,1935,12,KOR
-7.6222,1936,1,KOR
-3.9343,1936,2,KOR
-0.023,1936,3,KOR
8.54944,1936,4,KOR
14.6141,1936,5,KOR
19.9186,1936,6,KOR
22.6304,1936,7,KOR
21.7667,1936,8,KOR
18.8949,1936,9,KOR
12.2586,1936,10,KOR
5.34844,1936,11,KOR
-0.1125,1936,12,KOR
-3.2017,1937,1,KOR
-0.241,1937,2,KOR
3.36271,1937,3,KOR
9.60262,1937,4,KOR
14.9525,1937,5,KOR
19.4961,1937,6,KOR
23.6447,1937,7,KOR
25.2102,1937,8,KOR
19.1465,1937,9,KOR
12.5401,1937,10,KOR
6.53524,1937,11,KOR
-2.6946,1937,12,KOR
-5.7756,1938,1,KOR
-3.2332,1938,2,KOR
4.44372,1938,3,KOR
10.6434,1938,4,KOR
15.6331,1938,5,KOR
18.6564,1938,6,KOR
23.9799,1938,7,KOR
24.7969,1938,8,KOR
18.046,1938,9,KOR
13.6413,1938,10,KOR
4.51995,1938,11,KOR
-1.6871,1938,12,KOR
-4.4612,1939,1,KOR
-1.8027,1939,2,KOR
3.63058,1939,3,KOR
10.3792,1939,4,KOR
14.5964,1939,5,KOR
20.0889,1939,6,KOR
25.9336,1939,7,KOR
24.8899,1939,8,KOR
19.287,1939,9,KOR
13.1672,1939,10,KOR
5.4423,1939,11,KOR
-0.6813,1939,12,KOR
-6.0895,1940,1,KOR
-2.2788,1940,2,KOR
3.44645,1940,3,KOR
8.84223,1940,4,KOR
15.24,1940,5,KOR
19.3964,1940,6,KOR
23.4805,1940,7,KOR
