pr,	Year, Month, Country
19.8942,1918,2,KOR
44.1415,1918,3,KOR
95.4414,1918,4,KOR
139.252,1918,5,KOR
119.186,1918,6,KOR
390.023,1918,7,KOR
262.025,1918,8,KOR
83.9268,1918,9,KOR
68.9313,1918,10,KOR
62.6751,1918,11,KOR
20.0281,1918,12,KOR
46.5706,1919,1,KOR
11.9899,1919,2,KOR
27.0313,1919,3,KOR
66.392,1919,4,KOR
87.2379,1919,5,KOR
217.244,1919,6,KOR
212.022,1919,7,KOR
300.722,1919,8,KOR
134.481,1919,9,KOR
62.7789,1919,10,KOR
21.1767,1919,11,KOR
34.2701,1919,12,KOR
39.49,1920,1,KOR
49.4382,1920,2,KOR
48.6724,1920,3,KOR
61.6256,1920,4,KOR
104.861,1920,5,KOR
141.766,1920,6,KOR
421.588,1920,7,KOR
291.29,1920,8,KOR
109.164,1920,9,KOR
30.7171,1920,10,KOR
40.4277,1920,11,KOR
58.8969,1920,12,KOR
24.1462,1921,1,KOR
17.653,1921,2,KOR
42.6019,1921,3,KOR
97.3821,1921,4,KOR
79.7603,1921,5,KOR
223.8,1921,6,KOR
296.469,1921,7,KOR
255.488,1921,8,KOR
112.082,1921,9,KOR
53.774,1921,10,KOR
21.4651,1921,11,KOR
29.8697,1921,12,KOR
23.8102,1922,1,KOR
84.8214,1922,2,KOR
48.6725,1922,3,KOR
68.6441,1922,4,KOR
56.7413,1922,5,KOR
63.1162,1922,6,KOR
388.559,1922,7,KOR
249.592,1922,8,KOR
115.373,1922,9,KOR
103.44,1922,10,KOR
45.8534,1922,11,KOR
11.8176,1922,12,KOR
70.3314,1923,1,KOR
33.5551,1923,2,KOR
64.6461,1923,3,KOR
128.425,1923,4,KOR
113.837,1923,5,KOR
209.884,1923,6,KOR
260.342,1923,7,KOR
155.903,1923,8,KOR
145.738,1923,9,KOR
51.4232,1923,10,KOR
70.953,1923,11,KOR
16.549,1923,12,KOR
11.8829,1924,1,KOR
53.9552,1924,2,KOR
29.2104,1924,3,KOR
101.546,1924,4,KOR
72.5333,1924,5,KOR
119.777,1924,6,KOR
288.391,1924,7,KOR
109.453,1924,8,KOR
101.694,1924,9,KOR
47.7192,1924,10,KOR
47.5655,1924,11,KOR
21.5308,1924,12,KOR
10.7863,1925,1,KOR
19.2441,1925,2,KOR
40.3276,1925,3,KOR
43.9922,1925,4,KOR
135.492,1925,5,KOR
141.022,1925,6,KOR
594.068,1925,7,KOR
320.536,1925,8,KOR
179.272,1925,9,KOR
37.3028,1925,10,KOR
46.2094,1925,11,KOR
60.9165,1925,12,KOR
26.1466,1926,1,KOR
27.438,1926,2,KOR
24.6027,1926,3,KOR
70.6304,1926,4,KOR
165.28,1926,5,KOR
63.6027,1926,6,KOR
473.346,1926,7,KOR
195.91,1926,8,KOR
271.275,1926,9,KOR
63.7592,1926,10,KOR
29.7672,1926,11,KOR
28.1114,1926,12,KOR
58.2196,1927,1,KOR
10.2474,1927,2,KOR
61.8482,1927,3,KOR
113.464,1927,4,KOR
92.2531,1927,5,KOR
79.01,1927,6,KOR
272.478,1927,7,KOR
269.473,1927,8,KOR
78.2208,1927,9,KOR
83.0538,1927,10,KOR
